case_id,justice_id,turn_position,justice_utterance,preceding_speaker,preceding_context,side_addressed,label,claude_hostility,claude_question_type,gpt_hostility,gpt_question_type
05-83,j__samuel_a_alito_jr,110,"Is it just like Neder, or is it different from Neder?",gregory_c_link,--I think it's a materially--,1.0,0,,,4,CLARIFYING
05-83,j__samuel_a_alito_jr,158,"You keep saying a lesser offense and a greater offense, but under Washington law, there's just one offense.
Isn't that right?
It's second... it's assault in the second degree.",gregory_c_link,"I think in Neder... Neder is a different case and for a number of reasons.
Unlike Neder, there has never been a claim that there's any incorrectness in either the verdict in the charge or in the jury instructions.
In fact, Mr. Recuenco from the outset had no reason to suggest that there was anything wrong because the State was free to charge him with the lesser offense, and they did.
There would be no motive on his part to say, excuse me, Your Honor, I think I'm really guilty of a greater offense.
Please ask the State to amend its information.",1.0,0,,,5,CHALLENGING
05-416,j__samuel_a_alito_jr,227,"What if the claim is presented in a way that's gibberish, it's impossible to understand?",meir_feder,"And they... and if it does it as a binding rule that's not... that's not subject to change, I suppose that that... that that would be possible.
But the fact is... actually, a good example is, in one of the administrative cases that the United States cites in their brief, the United States versus L.A. Tucker Lines, what... the argument there is,
""We didn't need to present this argument to the Interstate Commerce Commission, because they had a rule that meant that they couldn't accept our claim, and the court... and the court says no to exhaust. ""
""You do have to present the claim. ""
""They may change it. """,1.0,0,,,5,HYPOTHETICAL
05-416,j__samuel_a_alito_jr,229,But he can--,meir_feder,"Then it'll... then, presumably, if the State rejects it on that ground, if he tries to file in Federal Court, he'll get sent back for having failed to actually complete his exhaustion obligations until he manages to file a--",1.0,0,,,4,CLARIFYING
05-416,j__samuel_a_alito_jr,231,"--But it can never be procedurally defaulted, because the claim isn't presented in a comprehensible form to the... to the prison grievance officials?",meir_feder,--claim that would satisfy--,1.0,0,,,5,CHALLENGING
06-8120,j__samuel_a_alito_jr,4,And would that apply if a bus was pulled over?,elizabeth_m_campbell,"Whether or not you can get out and catch another cab is sort of a separate issue, but at the moment that the car comes to a stop you've been stopped by a Government means intentionally applied, and I believe you are seized at that point.
After that it may become a factual question with the totality of the circumstances and it may be significantly different from that, from the question we face in a case like this where it's a passenger in a private car.",0.0,0,,,3,HYPOTHETICAL
06-8120,j__samuel_a_alito_jr,6,Everybody on the bus is seized?,elizabeth_m_campbell,If a bus--,0.0,0,,,4,CLARIFYING
06-8120,j__samuel_a_alito_jr,16,"In this case, is it correct to view this as... to view it this way: As soon as the officer approached the car, as I understand it, he recognized the Defendant as a potential parole violator.",elizabeth_m_campbell,"--Exactly.
Yes, Your Honor.",0.0,0,,,4,CLARIFYING
06-8120,j__samuel_a_alito_jr,18,"And there would be reasonable suspicion then from that moment on, for at least a brief detention of the individual to determine whether in fact there was a warrant for the individual.
So all we're talking about, the only period of potential seizure that we have to worry about is up to the moment when the officer sees Mr. Brendlin.",elizabeth_m_campbell,Yes.,0.0,0,,,2,CLARIFYING
06-8120,j__samuel_a_alito_jr,20,"In other words, any seizure after that point would be supported by reasonable suspicion?",elizabeth_m_campbell,"In terms of determining when Mr. Brendlin was seized, yes.
The... there--",0.0,0,,,4,CLARIFYING
06-8120,j__samuel_a_alito_jr,98,"What if the officer went, before even approaching the car got on the loudspeaker and said:
""Driver remain in the car; passenger, you're free to go? """,elizabeth_m_campbell,I think a reasonable person would not feel free to leave.,0.0,0,,,4,HYPOTHETICAL
06-8120,j__samuel_a_alito_jr,106,"What's the difference between that situation where the police officer says on the loudspeaker passenger remain, driver you're free to go, and the example that the State has in their brief, in which a car is stopped and as a result of the way it's stopped on a narrow road, the other cars behind that car are for some other period of time prevented from going forward?
What's the difference between those two situations?",elizabeth_m_campbell,"--I do accept their analytical distinction, Your Honor.
I think it's just... it's actually two different fact, two different points in time.
There's the, there's the seizure that occurs when the car stops; and then there is the continuing seizure during the course of the traffic stop which for the driver has a fairly clear ending point; for a passenger it's going to depend on the facts.",0.0,0,,,4,CLARIFYING
06-8120,j__samuel_a_alito_jr,118,"Well, how do you explain the justification for stopping if there is the seizure, for stopping the innocent passenger because the driver has committed a traffic violation?
If that's a seizure of the passenger, then it's a seizure without reasonable suspicion of probable cause, right?",elizabeth_m_campbell,"--That's a physical stop, but it's not... it's not the... the means intentionally applied portion of the test doesn't work or it doesn't satisfy it.",0.0,0,,,6,CHALLENGING
06-8120,j__samuel_a_alito_jr,228,"What is this period of time that we are talking about when Mr. Brendlin might or might not have felt that he was free to leave?
As I understand the facts, the officer recognized him as one of the two Brendlin brothers immediately upon approaching the car.
Isn't that right.",clifford_e_zall,"Of anybody.
Lower courts have uniformly held that, and yet that seems to be a more ambiguous situation and a situation in which the occupants' natural reaction would be to turn to each other and say: What's going on here?
Whereas again in the traffic stop I think it's, it is probably the most likely place that a citizen encounters a policeman, much more so than a, an officer approaching me at an airport and saying, can I see your identification, or approaching me on a street corner, or, as in Chesternut, following me as I'm walking home in his squad car.
Those seem to me to be more anxiety-creating and yet the Court has held that those are consensual encounters.
And in the parked car, there's ambiguity about what the police want, whereas in the routine traffic stop there isn't that ambiguity, so there's no reason why the passenger shouldn't feel free to leave.
Now, it might be prudent, as Justice Scalia indicated, to say, I'm leaving.
But that doesn't make it a seizure, that you should act prudently.
I think you should always act prudently when you're dealing with the police.",1.0,0,,,4,CLARIFYING
05-1589,j__samuel_a_alito_jr,8,"Well, how can the State Supreme Court determine what is the purpose, the intent, of the ballot initiative?",robert_m_mckenna,"--We believe that the integrity of the election process, Justice Scalia, is in fact served by helping ensure that individuals make voluntary contributions.
We think that in fact it does help the integrity of the election process, yes, sir.",0.0,0,,,5,CHALLENGING
05-1589,j__samuel_a_alito_jr,10,A lot of people voted for it.,robert_m_mckenna,"I'm not certain, Your Honor.
They referred to the--",0.0,0,,,6,CHALLENGING
05-1589,j__samuel_a_alito_jr,12,But is the State Supreme Court in a position to determine why they voted for it?,robert_m_mckenna,--Right.,0.0,0,,,5,CHALLENGING
05-1589,j__samuel_a_alito_jr,14,How do they know that?,robert_m_mckenna,"They simply hold, Your Honor, in their opinion that this is what the voters intended.",0.0,0,,,5,CHALLENGING
05-1589,j__samuel_a_alito_jr,60,"Well, if this money is the non-union member's money and an opt-out... I'm sorry... opt-in scheme is not much of a burden on the unions, why should the First Amendment permit anything other than an opt-in scheme.",paul_d_clement,"It might be a harder call, Justice Scalia.
I seem to recall a reference... it might have actually been in the court of appeals opinion rather than in the State Supreme Court opinion... that as a general matter the Washington courts have not construed their First Amendment, State constituent First Amendment to be radically different than the Federal Constitution.
So I would imagine there's going to be some State law that may limit their ability to do that.
I'm certainly not an expert on the Washington State law of the First Amendment.",0.0,0,,,5,DEVILS_ADVOCATE
05-1589,j__samuel_a_alito_jr,62,"The union can make it as difficult as it wants for somebody to opt out.
They can send a packet that's this thick and not provide a form.",paul_d_clement,"Well, Justice Scalia, it's a fair question.
As I say, it's a question that's certainly raised by the Davenport Petitioners.
I think there's an answer to it and I'll get to it in a minute.
But I would say in fairness to Mr.... one of the anomalies of this case is that in many respects I think that's a more difficult constitutional question than the one that the Washington Supreme Court answered adversely to Petitioners in this case.
I think, if I can sketch an answer as to why it is that the opt out is the constitutional minimum and there isn't as a matter of constitutional law required to be an opt-in right, I think it goes back to what the Court has construed as the relevant First Amendment interest here.
And the Court has seemingly construed the relevant First Amendment interest here in not having a compelled extraction, and as part and parcel of the constitutional violation, it seems to have assumed there's a need for a stated objection.
And I think that's where you get the opt-out right.
And so if you put it in the analogy, an analogous compelled speech context like Willie against Maynard and the New Hampshire license plate, in that context an important parcel of the violation is the objection to having ""Live Free or Die"" on your license plate.
And the Court hasn't construed the compelled speech there to be that everybody has a compelled speech violation because they are presumptively forced to have the license plate on the back of their car.
So I think that--",0.0,0,,,6,CHALLENGING
05-1589,j__samuel_a_alito_jr,156,"It's not exactly the same situation.
These are teachers who have chosen not to join the Washington Education Association; isn't that right?",john_m_west,"No, you have the... but that would be just like... like the solicitor general on the... the license plate case.
Someone who receives in the mail the license plate that says ""Live Free or Die"" or ""Taxation Without Representation"" and puts it on his car is not waiving a constitutional right by--",1.0,0,,,5,CHALLENGING
05-1589,j__samuel_a_alito_jr,158,"Isn't it overwhelmingly likely that they, if you spoke to them and you said would you like to give money to the union to spend on elections, they would say no?",john_m_west,--These are teachers who have not joined the Washington Education--,1.0,0,,,6,CHALLENGING
05-1589,j__samuel_a_alito_jr,160,"Explain to me the thinking of somebody who chooses not to join, the 5 percent who choose not to join, and yet they would like to make this contribution.
Now maybe there's some, but what would be the thinking of such a person?",john_m_west,"--I absolutely disagree with you, Justice Alito, because keep in mind--",1.0,0,,,4,CLARIFYING
05-1589,j__samuel_a_alito_jr,162,What's the difference between that?,john_m_west,"--It's not asking them to make a contribution.
It's asking them, is it okay with you if your money is used for this purpose.
But keep in mind what the money is being used for here.",1.0,0,,,5,CHALLENGING
05-1589,j__samuel_a_alito_jr,164,"What's the difference between saying would you like to make a contribution, and would you like to allow us to use money that we possess for our purposes rather than returning it to us?
What's the difference between those two?",john_m_west,The money is being used--,1.0,0,,,5,CLARIFYING
05-1589,j__samuel_a_alito_jr,168,"I still don't understand the thinking of these hypothetical people.
If I'm a union member, I get various benefits.
If I choose not to be a union member, I don't get those benefits.
Why would I choose to give up the benefits of union membership and yet want to allow the union to spend my money for its political purposes?",john_m_west,"--No, but I'm responding to the suggestion that there should be some kind of presumption that they would, would decline to authorize this.
That's... the question you raised, Mr. Chief Justice, is exactly the question before the Court, whether the State can, constitutionally can insist that the union obtain affirmative authorization for this particular type of speech and for no other type of speech.
Let me... let me suggest--",1.0,0,,,5,HYPOTHETICAL
05-1629,j__samuel_a_alito_jr,35,"What if a particular jurisdiction has an entirely novel and fundamentally different theory of aiding and abetting?
Is it simply sufficient that it is labeled aiding and abetting?",dan_himmelfarb,"--That's true, Mr. Chief Justice.
Our main submission is that the Ninth Circuit relied on an issue of aiding and abetting.
We petitioned on that question and the Court granted certiorari on that question.
The three grounds on which respondent relies on defense of the judgment, even though they all vary in some sense from the Ninth Circuit's ground, two of them simply have nothing to do with aiding and abetting.
The first ground is an aiding and abetting argument.
It's slightly different from the one, slightly narrower than the one on which the Ninth Circuit relied, but we think it's fairly included and we think the Court should address it.
We think the Court should reject it for the reasons I am attempting to articulate now.
If you have a jurisdiction with a law of aiding and abetting that is broader, it can be characterized as broader in some sense than what might be thought to be the general notion of aiding and abetting, under the premise of respondent's theory, you could conceivably have this kind of argument in any removal case--",0.0,0,,,5,HYPOTHETICAL
05-1629,j__samuel_a_alito_jr,118,So wouldn't it odd for this Court to decide that issue of California law?,christopher_j_meade,"I have two responses, Justice Ginsburg.
First, there's a similar provision to--
108.51 covering the taking or operating of an airplane.
It is in the penal code.
It is 499(b).
It exactly mirrors the language of 108.51.
So presumably the Government would agree that the definition of accessory under California law in the penal code would cover 499(b) for the same reasons it would cover under 108.51.
Moreover, accessory under California law only has one meaning.
In 1872 the California legislature passed the provision at issue, Section 32 and said accessory is defined to be accessory after the fact.
At the same time, the legislature passed other provisions which also used accessory in that consistent way.
The California Supreme Court as early as 1898 stated that accessory means accessory after the fact and relatedly, accessory before the fact, the only other plausible meaning of the term, has no meaning under California law.
So with all due respect to the Government, accessory in 108.51 means accessory after the fact and that alone makes a broad and generic definition of theft offense.",1.0,0,,,5,CHALLENGING
05-1629,j__samuel_a_alito_jr,150,"In order to agree with you on the accessory point, though, don't we have to decide two disputed issues of California law?
Whether accessory here in this statute means accessory after the fact, and whether if somebody is charged under that statute as an accessory, that has to be alleged specifically in the indictment, or whether it is just sufficient to charge the person with the offense.",christopher_j_meade,"--Yes.
I would acknowledge the charging document unto itself, but not taking into account the fact that the charging document and the conviction not match.
I would note, though, that the Court need not go to the modified categorical approach, and I would say should not.
This is something that the board... the agency has been able to deal with for 60 years or so, dealing with the actual documents, trying to figure out a whether particular charging document is or is not enough.
In Shepard itself, which actually dealt with the question of which documents could or could not be considered, the Court did not go further and look at the next step and decide whether those particular documents did or did not meet the definition in that case.
I'd also like to note to the extent that this Court finds California charging law ambiguous or hard to understand, under the principle of Jett v Dallas Independent School District, the circuit courts are in a better position to consider a matter of California State law in the first instance.
So our accessory argument is that the Court should decide the categorical approach alone on the accessory after the fact ground and remand to the agency for consideration under the modified approach.
I'd like to also stress that if the Court were to affirm on that ground it would be a very narrow holding.
There's only two other statutes in California that expressly include accessories after the fact.
California's car theft statute does not include accessories after the fact.",1.0,0,,,5,CLARIFYING
05-1629,j__samuel_a_alito_jr,162,Are there cases that hold that the natural and probably consequences of purchasing alcohol for a minor could be joyriding?,christopher_j_meade,"Yes, and I thank you for that question.
Someone who, say, could aid and abet, or have the intent to aid and abet purchasing alcohol for a minor, a natural and probable consequence of that could be joyriding.
I would also like to... turning to the question of the natural and probable consequences doctrine, the government is incorrect when it states that the majority view accepts the natural and probable consequences.",1.0,0,,,5,CHALLENGING
05-1629,j__samuel_a_alito_jr,164,Or anything else that somebody might do after getting intoxicated?,christopher_j_meade,"We have not found a case on that.
However--",1.0,0,,,5,CHALLENGING
06-376,j__samuel_a_alito_jr,178,Is that the poverty line?,jonathan_l_marcus,"Right.
There's a judicial remedy in one case and only an administrative remedy in the other.",1.0,1,,,4,CLARIFYING
06-376,j__samuel_a_alito_jr,180,"Is the net worth of $2 million the poverty line now?
[Laughter]",jonathan_l_marcus,"And there's another provision in the tax... I'm sorry, Justice Alito.",1.0,1,,,3,HYPOTHETICAL
06-376,j__samuel_a_alito_jr,182,"So what is... so what's the rationale?
This isn't treating the rich and the poor differently, is it?",jonathan_l_marcus,Not that I'm aware of.,1.0,1,,,5,CHALLENGING
06-376,j__samuel_a_alito_jr,184,Someone with a net worth of $1.5 million couldn't invest the money in the interim?,jonathan_l_marcus,It's treating exceedingly high net worth individuals and corporations differently from everyone else.,1.0,1,,,5,HYPOTHETICAL
04-1350,j__samuel_a_alito_jr,10,"But what is the difference between asking whether something is implicit in the, in the prior art and simply asking whether it would have been obvious to a person of ordinary skill in the art?",james_w_dabney,"Your Honor, what the Federal Circuit has done in recent times has been after a certiorari was granted in this case to erect a series of escape devices from what is otherwise a categorical test that must be imposed in all cases.
As a practical matter the Federal Circuit still characterizes as an issue of fact for determination by a jury the presence or absence of teaching, suggestion, or motivation, and so these seemingly remedial steps that have been taken by the Federal Circuit do not materially affect the problem that's praised by this case, which is the well nigh impossibility nowadays of being able to have an efficient, inexpensive, quick and predictable determination of whether claimed subject matter meets the statutory standard.",0.0,0,,,5,CLARIFYING
04-1350,j__samuel_a_alito_jr,127,"Well, once you define the teaching, suggestion and motivation test that way so that it can be implicit, it can be based on common sense, I don't quite understand the difference between that and simply asking whether it's obvious.
Could you just explain what that adds?",thomas_c_goldstein,"--Justice Kennedy, with respect, that is not a fair description of the Federal Circuit's test, and I will take you to the language that addressed this claim.
It's at the bottom of page 18 of our brief and also at the top of 19, and we quote the Solicitor General's brief.
The Solicitor General asserts to the contrary, that Federal Circuit precedent focuses attention exclusively on a search for teaching, suggestions and motivations in the prior art.
That is not accurate.
That was a quote from their brief.
Here is a quote from the Solicitor General.
It is from a new opinion of the Federal Circuit, but it is quoting, it is citing a series of old opinions from the Federal Circuit.
Under our nonrigid motivation, suggestion, teaching test, a suggestion to combine need not be found in the prior art.
And then there is the blocked quote that I read to Justice Breyer about making things cheaper, faster, lighter, common knowledge and common sense.",1.0,0,,,5,CHALLENGING
04-1350,j__samuel_a_alito_jr,170,"Would you dispute that in some of the earlier cases, like Dembiczak with the garbage bag that looks like a pumpkin, that this TSM test was applied in a way that seemed to ask for something quite explicit in the prior art?",thomas_c_goldstein,"--Justice Scalia, if you actually believe that, then you just don't believe the judges in the Federal Circuit because in each of these opinions they say quite explicitly we are not changing it.",1.0,0,,,4,DEVILS_ADVOCATE
05-1074,j__samuel_a_alito_jr,18,"Do you have to show that at the time when a particular paycheck in question is issued, there was an intent to discriminate?",kevin_k_russell,"Yes.
It's essentially the same case kind of case in each instance.
Although the jury has to find intentional discrimination in the Title VII case; under the Equal Pay Act the jury has to determine whether the employer has shown that the present disparity is the result of some factor other than sex.
And so in both cases, the jury always has to consider the basis of prior decisions that are the cause of the present disparity.",0.0,1,,,4,CLARIFYING
05-1074,j__samuel_a_alito_jr,20,"What if the situation is that when the particular paycheck is cut, the company, the employer, whoever it is, has no intent whatsoever to discriminate?
They think that they are issuing this pay on a totally nondiscriminatory basis?",kevin_k_russell,"No.
The execution of a prior discriminatory decision constitutes a present violation of Title VII.
It's frequently--",0.0,1,,,5,HYPOTHETICAL
05-1074,j__samuel_a_alito_jr,59,But isn't your position that an employer violates Title VII unless the employer periodically reviews the entire pay record of every employee to make sure that there has never been an uncomplained of act of discrimination at any point in the past that would have a continuing present effect on the amount of money that the employee is paid?,kevin_k_russell,"--That's true, but the paycheck accrual rule also serves the function of the much more common case in which somebody doesn't derive notice of the potential discrimination until the discrimination has been repeated over time.",0.0,1,,,6,CHALLENGING
05-1074,j__samuel_a_alito_jr,105,"If the employer had a policy of paying women, all women, 20 percent less than men, and it continued that policy, surely it would know in the present day when it issued those paychecks that it was paying women less than men.
So it would be intentionally discriminating at this time, wouldn't it?",glen_d_nager,"I think the answer is it clearly would be untimely insofar as the allegation is that there is discrimination today merely because there was discrimination yesterday.
Whether or not there is discrimination going on during the charge filing period, whether or not women are intentionally being treated differently than men, I think the answer, based upon your hypothetical, is no, given what you've said.",1.0,1,,,4,HYPOTHETICAL
05-1074,j__samuel_a_alito_jr,206,How could cost justify a dual pay scale?,kevin_k_russell,"No, that's incorrect.
I mean, the EEOC has taken this position that you can challenge present pay disparities even before the Court's decision in Bazemore and it continued to adhere to it afterward.
The fact that they cited to Bazemore shouldn't disentitle them to the kind of deference that they're ordinarily entitled to when they construe a statute that's given to them, and this is precisely the kind of question Congress would have entitled them to exercise their expertise on.
Finally, I would like to raise the point that under respondent's rule the Extension Service would have been permitted to pay blacks less than white in perpetuity in Bazemore so long as it did so because of cost and not because it wanted to continue to discriminate on the basis of race.
And similarly, under the Solicitor General's view an employer who had intentionally discriminated through discrete decisions against some of its employees prior to the act would be allowed to continue to do so after the act because the decision would have been the potentially unlawful act in that case and that wouldn't have been actionable.
We respectfully suggest that Congress intended nothing than a complete--",0.0,1,,,6,CHALLENGING
05-1074,j__samuel_a_alito_jr,208,"You'd have to have another factor in the decision, which was that you didn't want to change pay.
But cost alone couldn't justify that.",kevin_k_russell,--It could... the Extension Service--,0.0,1,,,4,CLARIFYING
05-1074,j__samuel_a_alito_jr,210,"No, you'd have to say, we don't want to spend any more and we also don't want to equalize pay.
You have to say the second too.",kevin_k_russell,"--It would be a nondiscriminatory reason.
They would... they would say that, the reason we didn't immediately equalize salaries is because it cost too much, it would have required... we'd be required to cut down on our programs.
And under respondent's view that is not intentionally pay-maintaining discrimination.",0.0,1,,,2,CLARIFYING
05-1074,j__samuel_a_alito_jr,212,"If you say you're not going to equalize pay, you're saying you're going to discriminate on the basis of race.",kevin_k_russell,"They would say, we don't want to equalize pay because it costs too much, and that's not a discriminatory reason for maintaining the prior disparity.
But ultimately--",0.0,1,,,6,CHALLENGING
05-1074,j__samuel_a_alito_jr,219,You'd certainly have a very happy work force if you equalized one way.,kevin_k_russell,"It would, but if they chose not to equalize at all because they don't want to spend the money the money that would be a nondiscriminatory reason.",0.0,1,,,5,CHALLENGING
06-116,j__samuel_a_alito_jr,22,"Does it make any difference that the review was discretionary in the Ninth Circuit?
What if before the act was passed there was an appeal as of right to the Ninth Circuit?
Wouldn't your argument be exactly the same?",seth_p_waxman,"Yes, and in fact... I mean, it's... I don't think that anything actually turns on this in the context of this case, but it is quite significant that at the time... there has yet never been any appellate determination of the substantive question in this case.
The Guam Supreme Court considered this as a court of first instance that original petition was filed in the Guam Supreme Court.
And the Ninth Circuit Court of Appeals at the time that the attorney general filed the petition for a writ of certiorari was the only place the attorney general of Guam could go to get review of this construction by a territorial court sitting as a trial court in the first instance of an act of Congress.",0.0,1,,,4,HYPOTHETICAL
06-116,j__samuel_a_alito_jr,114,"What if, what if the Ninth Circuit had incorrectly held that it had jurisdiction?
Would it be the same?",beth_s_brinkmann,The divestiture of the jurisdiction occurred on the date that Congress's statute went into effect.,1.0,1,,,4,HYPOTHETICAL
06-593,j__samuel_a_alito_jr,118,"But if they're flatly contradictory, doesn't your argument have to be that 109(a) has lesser status?
That's what it boils down to, isn't it?",harold_c_becker,"--Again, for two reasons, Your Honor.
There's a difference between conflict and ambiguity.
The words are unambiguous, and it's not simply the... there's two sets of words which they attempt to read out of the regulation, one of the unambiguous words that require employment by the person who's living in the home, and the other is the prefatory language which says the regulation only applies to the exemption.
So in the guise of deference, the Solicitor General and the petitioners actually suggest to this Court that it should take apart the regulation and ignore two of its three operative provisions.",1.0,0,,,5,CHALLENGING
06-593,j__samuel_a_alito_jr,120,"I'm talking about what you think the Department of Labor was doing when it promulgated 109(a).
It was thinking in effect the following: We have the power to issue a regulation here that has the force and effect of law, and we're going to go through the procedure that would be necessary to issue such a regulation.
But we're not invoking that power here because we want this interpretation which we think is the correct interpretation of the statute not to be followed... not to get as much deference from the courts as it would if we were invoking our power.
Does that make any sense?
That an agency would proceed in that way?",harold_c_becker,"That is certainly my primary argument, that this statute is relatively unique in that it vested two very different sorts of authority in the Department of Labor, one a clear law making authority to actually define and delimit, to specify what the terms in the law mean--",1.0,0,,,5,CHALLENGING
05-608,j__samuel_a_alito_jr,340,But your argument seems--,maureen_e_mahoney,"--I don't... I don't think it's like violating the contract here, though, Your Honor, because, What are the consequences here?
What is the choice?
First of all, they actually owe the royalties under the agreement, so they're trying to escape their bargain, not enforce it.
That's number one.
So, they're not forfeiting any rights under the contract, they're simply trying to get out of the contract.
Number two, the consequences here, the choice they're talking about, isn't in the nature of coercion.
Again, they're not being arrested or prosecuted.
All they're going to do if they walk out of this agreement, if they stop paying royalties... yes, they may well be sued for infringement... but, if they do, all they face is the loss of their discount.",1.0,0,,,5,CHALLENGING
05-608,j__samuel_a_alito_jr,342,"--to be based on their having implicitly given up their right to sue.
Isn't that right?
That was your main argument.
This is a settlement.
This is in the nature of the settlement.
As part of the bargain, the patent holder promises not to sue for infringement.",maureen_e_mahoney,That's--,1.0,0,,,2,CLARIFYING
05-608,j__samuel_a_alito_jr,344,"But in answer to the hypotheticals, you seem to say it wouldn't matter if they explicitly did not give up their right to sue.
So, what is left of this argument that what's involved here is essentially a settlement?",maureen_e_mahoney,"--It's not based on them giving up their right to sue, in the sense that all they have to do is stop paying royalties, and they can sue.
They have to--",1.0,0,,,5,CHALLENGING
06-278,j__samuel_a_alito_jr,32,"Are you arguing that there should be a sui generis rule for speech that advocates illegal drug use, or this broader argument that the school can suppress any speech that is inconsistent with its educational mission as the school--",kenneth_w_starr,"--It was interpreted... exactly, yes.
It was interpreted as an encouragement of the drug culture and--",0.0,0,,,4,CLARIFYING
06-278,j__samuel_a_alito_jr,34,--defines it?,kenneth_w_starr,--I think that--,0.0,0,,,4,CLARIFYING
06-278,j__samuel_a_alito_jr,87,"Well, that's a very... I find that a very, a very disturbing argument, because schools have and they can defined their educational mission so broadly that they can suppress all sorts of political speech and speech expressing fundamental values of the students, under the banner of, of... of getting rid of speech that's inconsistent with educational missions.",edwin_s_kneedler,"Well, I think this is a manifestation of the principle articulated in Earls and repeated in Hazelwood that a, school does not have to tolerate a message that is inconsistent with its basic educational--",-1.0,0,,,7,CHALLENGING
