case_id,label,n_pet_exchanges,n_res_exchanges,exchange_ratio,gpt_pet_hostility,gpt_res_hostility,hostility_diff,hostility_diff_cubed
2023_23-939,1,19,31,0.6129032258064516,6.0,3.0,3.0,27.0
2023_23A349,0,0,6,0.0,,3.0,,
2024_22-7466,1,14,0,,5.0,,,
2024_23-1127,0,13,8,1.625,6.0,4.0,2.0,8.0
2024_23-1187,0,9,5,1.8,3.0,1.0,2.0,8.0
2024_23-1226,1,0,0,,,,,
2024_23-191,0,11,8,1.375,3.0,4.0,-1.0,-1.0
2024_23-583,0,5,0,,5.0,,,
2024_23-677,0,4,4,1.0,6.0,4.0,2.0,8.0
2024_23-7483,1,2,4,0.5,4.0,4.0,0.0,0.0
2024_23-867,1,6,3,2.0,6.0,4.0,2.0,8.0
2024_24-20,1,18,5,3.6,3.0,3.0,0.0,0.0
2024_24-656,0,39,11,3.5454545454545454,5.0,3.0,2.0,8.0
