case_id,label,n_pet_exchanges,n_res_exchanges,exchange_ratio,gpt_pet_hostility,gpt_res_hostility,hostility_diff,hostility_diff_cubed
18-6135,0,3,5,0.6,4.0,6.0,-2.0,-8.0
18-6210,0,0,4,0.0,,5.0,,
18-6662,0,4,8,0.5,6.0,5.0,1.0,1.0
18-6943,1,5,3,1.6666666666666667,3.0,5.0,-2.0,-8.0
18-916,0,12,15,0.8,6.0,6.0,0.0,0.0
18-96,1,4,21,0.19047619047619047,5.0,3.0,2.0,8.0
18-966,1,0,16,0.0,,6.0,,
19-267,1,1,6,0.16666666666666666,5.0,5.0,0.0,0.0
19-431,1,3,8,0.375,3.0,4.0,-1.0,-1.0
19-46,0,3,10,0.3,4.0,2.0,2.0,8.0
19-465,0,10,2,5.0,5.0,2.0,3.0,27.0
19-635,0,5,7,0.7142857142857143,5.0,4.0,1.0,1.0
2020_142-orig,0,5,4,1.25,4.0,3.0,1.0,1.0
2020_18-956,1,9,3,3.0,5.0,4.0,1.0,1.0
2020_19-1039,0,8,4,2.0,6.0,4.0,2.0,8.0
2020_19-108,1,4,8,0.5,4.0,5.0,-1.0,-1.0
2020_19-1155,1,8,9,0.8888888888888888,5.0,5.0,0.0,0.0
2020_19-1189,1,5,5,1.0,6.0,4.0,2.0,8.0
2020_19-123,1,6,10,0.6,4.0,3.0,1.0,1.0
2020_19-1434,1,0,0,,,,,
2020_19-199,0,6,3,2.0,5.0,4.0,1.0,1.0
2020_19-251,1,5,7,0.7142857142857143,2.0,4.0,-2.0,-8.0
2020_19-292,0,13,7,1.8571428571428572,6.0,3.0,3.0,27.0
2020_19-309,1,3,3,1.0,5.0,4.0,1.0,1.0
2020_19-351,1,6,8,0.75,4.0,5.0,-1.0,-1.0
2020_19-357,1,5,8,0.625,2.0,5.0,-3.0,-27.0
2020_19-368,0,2,7,0.2857142857142857,3.0,4.0,-1.0,-1.0
2020_19-416,1,6,5,1.2,5.0,6.0,-1.0,-1.0
2020_19-508,1,2,5,0.4,3.0,4.0,-1.0,-1.0
2020_19-511,1,2,12,0.16666666666666666,2.0,5.0,-3.0,-27.0
2020_19-5410,1,8,6,1.3333333333333333,6.0,6.0,0.0,0.0
2020_19-546,1,1,8,0.125,1.0,6.0,-5.0,-125.0
2020_19-840,0,0,0,,,,,
2020_19-968,1,3,9,0.3333333333333333,4.0,4.0,0.0,0.0
2020_20-18,1,9,3,3.0,4.0,5.0,-1.0,-1.0
2020_20-297,1,8,5,1.6,2.0,5.0,-3.0,-27.0
2020_20-437,1,1,1,1.0,3.0,1.0,2.0,8.0
2020_20-512,0,6,2,3.0,2.0,4.0,-2.0,-8.0
2020_20-543,0,10,11,0.9090909090909091,6.0,5.0,1.0,1.0
2020_20-5904,0,1,1,1.0,1.0,1.0,0.0,0.0
2020_65-orig,0,0,0,,,,,
2021_19-1401,1,5,0,,4.0,,,
2021_20-1143,1,1,1,1.0,3.0,1.0,2.0,8.0
2021_20-1800,1,0,15,0.0,,5.0,,
2021_20-303,1,10,0,,4.0,,,
2021_20-5279,1,8,27,0.2962962962962963,2.0,6.0,-4.0,-64.0
2021_20-601,1,4,14,0.2857142857142857,4.0,4.0,0.0,0.0
2021_20-659,0,38,5,7.6,6.0,6.0,0.0,0.0
2021_20-804,1,1,1,1.0,1.0,2.0,-1.0,-1.0
2021_20-827,0,27,0,,5.0,,,
2021_20-828,1,24,13,1.8461538461538463,6.0,5.0,1.0,1.0
2021_21-328,1,9,8,1.125,5.0,5.0,0.0,0.0
2022_21-1052,0,10,11,0.9090909090909091,5.0,4.0,1.0,1.0
2022_21-1158,1,3,40,0.075,4.0,5.0,-1.0,-1.0
2022_21-1168,1,12,36,0.3333333333333333,3.0,5.0,-2.0,-8.0
2022_21-1170,1,0,10,0.0,,7.0,,
2022_21-1195,1,13,27,0.48148148148148145,2.0,6.0,-4.0,-64.0
2022_21-1326,1,7,14,0.5,4.0,6.0,-2.0,-8.0
2022_21-1454,1,0,24,0.0,,6.0,,
2022_21-1484,0,0,0,,,,,
2022_21-1496,1,9,3,3.0,5.0,4.0,1.0,1.0
2022_21-1576,0,12,27,0.4444444444444444,3.0,4.0,-1.0,-1.0
2022_21-1599,0,0,37,0.0,,3.0,,
2022_21-376,1,0,0,,,,,
2022_21-442,0,0,2,0.0,,3.0,,
2022_21-454,1,3,37,0.08108108108108109,4.0,5.0,-1.0,-1.0
2022_21-476,1,9,38,0.23684210526315788,2.0,4.0,-2.0,-8.0
2022_21-757,0,23,16,1.4375,3.0,3.0,0.0,0.0
2022_21-806,0,0,1,0.0,,4.0,,
2022_21-869,0,0,0,,,,,
2022_21-887,1,0,15,0.0,,4.0,,
2022_21-984,1,14,0,,4.0,,,
2022_22-105,1,2,30,0.06666666666666667,3.0,2.0,1.0,1.0
2022_22-138,1,3,16,0.1875,3.0,5.0,-2.0,-8.0
2022_22-166,1,1,24,0.041666666666666664,3.0,5.0,-2.0,-8.0
2022_22-174,1,0,33,0.0,,2.0,,
2022_22-196,0,20,4,5.0,6.0,5.0,1.0,1.0
2022_22-23,1,0,1,0.0,,2.0,,
2022_22-506,0,11,5,2.2,5.0,5.0,0.0,0.0
2022_22-535,1,21,0,,4.0,,,
2022_22-58,1,9,25,0.36,3.0,4.0,-1.0,-1.0
2023_22-1008,1,16,11,1.4545454545454546,5.0,5.0,0.0,0.0
2023_22-1078,1,10,28,0.35714285714285715,5.0,6.0,-1.0,-1.0
2023_22-1178,0,9,3,3.0,6.0,3.0,3.0,27.0
2023_22-1218,1,4,0,,2.0,,,
2023_22-324,1,5,17,0.29411764705882354,3.0,4.0,-1.0,-1.0
2023_22-340,1,19,22,0.8636363636363636,4.0,7.0,-3.0,-27.0
2023_22-448,0,20,3,6.666666666666667,4.0,2.0,2.0,8.0
2023_22-451,1,6,33,0.18181818181818182,5.0,4.0,1.0,1.0
2023_22-529,1,0,30,0.0,,6.0,,
2023_22-555,1,10,9,1.1111111111111112,5.0,3.0,2.0,8.0
2023_22-585,0,10,20,0.5,5.0,3.0,2.0,8.0
2023_22-6389,1,10,36,0.2777777777777778,4.0,4.0,0.0,0.0
2023_22-660,1,10,16,0.625,1.0,5.0,-4.0,-64.0
2023_22-674,1,11,0,,2.0,,,
2023_22-721,1,10,23,0.43478260869565216,1.0,7.0,-6.0,-216.0
2023_22-7386,0,4,10,0.4,5.0,3.0,2.0,8.0
2023_22-899,1,0,10,0.0,,5.0,,
2023_22-915,1,13,15,0.8666666666666667,2.0,6.0,-4.0,-64.0
2023_22-976,1,9,4,2.25,6.0,3.0,3.0,27.0
2023_23-124,1,7,25,0.28,2.0,6.0,-4.0,-64.0
2023_23-14,1,24,43,0.5581395348837209,5.0,5.0,0.0,0.0
2023_23-146,0,8,5,1.6,2.0,4.0,-2.0,-8.0
2023_23-21,1,8,11,0.7272727272727273,2.0,4.0,-2.0,-8.0
2023_23-250,0,26,19,1.368421052631579,4.0,2.0,2.0,8.0
2023_23-3,1,6,14,0.42857142857142855,3.0,5.0,-2.0,-8.0
2023_23-367,1,11,27,0.4074074074074074,4.0,5.0,-1.0,-1.0
2023_23-370,1,21,0,,6.0,,,
2023_23-50,0,21,6,3.5,4.0,4.0,0.0,0.0
2023_23-51,1,9,0,,2.0,,,
2023_23-719,1,18,33,0.5454545454545454,2.0,6.0,-4.0,-64.0
2023_23A349,1,0,26,0.0,,6.0,,
2024_23-1187,0,16,6,2.6666666666666665,4.0,2.0,2.0,8.0
2024_23-1226,1,7,15,0.4666666666666667,6.0,4.0,2.0,8.0
2024_23-583,0,0,35,0.0,,5.0,,
2024_23-867,1,6,5,1.2,5.0,3.0,2.0,8.0
2024_24-20,1,61,8,7.625,6.0,5.0,1.0,1.0
