case_id,label,n_pet_exchanges,n_res_exchanges,exchange_ratio,gpt_pet_hostility,gpt_res_hostility,hostility_diff,hostility_diff_cubed
08-1332,0,2,0,,2.0,,,
08-1341,0,2,6,0.3333333333333333,3.0,6.0,-3.0,-27.0
08-1371,0,3,23,0.13043478260869565,2.0,6.0,-4.0,-64.0
08-1438,1,2,2,1.0,3.0,2.0,1.0,1.0
08-1457,0,6,2,3.0,5.0,5.0,0.0,0.0
08-146,0,2,3,0.6666666666666666,4.0,4.0,0.0,0.0
08-267,0,0,0,,,,,
08-310,0,1,0,,3.0,,,
08-351,0,4,9,0.4444444444444444,5.0,6.0,-1.0,-1.0
08-651,0,9,1,9.0,5.0,5.0,0.0,0.0
08-678,1,0,4,0.0,,5.0,,
08-964,1,0,1,0.0,,3.0,,
09-1036,0,3,2,1.5,5.0,5.0,0.0,0.0
09-115,1,4,3,1.3333333333333333,5.0,5.0,0.0,0.0
09-1272,0,0,9,0.0,,5.0,,
09-1273,0,0,5,0.0,,5.0,,
09-1403,0,12,0,,6.0,,,
09-1498,1,4,6,0.6666666666666666,4.0,5.0,-1.0,-1.0
09-152,1,6,0,,5.0,,,
09-1533,1,13,5,2.6,5.0,5.0,0.0,0.0
09-291,0,10,0,,5.0,,,
09-350,0,12,3,4.0,4.0,5.0,-1.0,-1.0
09-367,1,11,0,,6.0,,,
09-530,0,5,7,0.7142857142857143,5.0,5.0,0.0,0.0
09-5327,0,8,4,2.0,5.0,5.0,0.0,0.0
09-587,0,7,6,1.1666666666666667,4.0,6.0,-2.0,-8.0
09-737,0,6,2,3.0,5.0,5.0,0.0,0.0
09-751,0,5,15,0.3333333333333333,6.0,4.0,2.0,8.0
09-834,0,7,0,,5.0,,,
09-987,0,0,20,0.0,,5.0,,
10-1104,0,4,0,,5.0,,,
10-114,0,9,2,4.5,5.0,4.0,1.0,1.0
10-1261,0,4,4,1.0,4.0,6.0,-2.0,-8.0
10-1491,1,15,4,3.75,6.0,6.0,0.0,0.0
10-444,1,3,11,0.2727272727272727,6.0,5.0,1.0,1.0
10-507,1,1,3,0.3333333333333333,4.0,6.0,-2.0,-8.0
11-1221,1,3,7,0.42857142857142855,5.0,6.0,-1.0,-1.0
11-1327,1,7,3,2.3333333333333335,5.0,5.0,0.0,0.0
11-1351,0,0,0,,,,,
11-166,1,4,4,1.0,4.0,3.0,1.0,1.0
11-210,0,3,10,0.3,4.0,5.0,-1.0,-1.0
11-345,0,1,17,0.058823529411764705,5.0,6.0,-1.0,-1.0
11-626,0,2,0,,5.0,,,
11-713,0,2,6,0.3333333333333333,5.0,6.0,-1.0,-1.0
11-770,1,8,0,,5.0,,,
11-864,0,0,5,0.0,,5.0,,
11-9953,1,2,4,0.5,5.0,5.0,0.0,0.0
12-10,1,9,0,,6.0,,,
12-1168,0,4,13,0.3076923076923077,5.0,7.0,-2.0,-8.0
12-1184,0,8,0,,5.0,,,
12-133,0,1,0,,3.0,,,
12-1371,0,4,5,0.8,4.0,6.0,-2.0,-8.0
12-144,0,0,4,0.0,,6.0,,
12-246,1,6,0,,5.0,,,
12-399,0,0,3,0.0,,6.0,,
12-418,0,3,11,0.2727272727272727,4.0,5.0,-1.0,-1.0
12-464,1,8,2,4.0,5.0,4.0,1.0,1.0
12-515,0,12,4,3.0,5.0,6.0,-1.0,-1.0
12-5196,0,9,0,,6.0,,,
12-609,0,6,5,1.2,5.0,5.0,0.0,0.0
12-786,0,6,0,,5.0,,,
12-815,0,3,7,0.42857142857142855,4.0,5.0,-1.0,-1.0
12-872,1,0,18,0.0,,4.0,,
12-895,1,13,1,13.0,5.0,3.0,2.0,8.0
12-98,1,4,7,0.5714285714285714,4.0,5.0,-1.0,-1.0
13-1074,0,1,2,0.5,3.0,4.0,-1.0,-1.0
13-1080,0,2,1,2.0,5.0,4.0,1.0,1.0
13-1174,0,0,6,0.0,,5.0,,
13-1211,1,2,0,,5.0,,,
13-1499,0,1,2,0.5,3.0,4.0,-1.0,-1.0
13-354,1,4,26,0.15384615384615385,5.0,6.0,-1.0,-1.0
13-550,0,0,6,0.0,,5.0,,
13-628,0,5,8,0.625,5.0,5.0,0.0,0.0
13-7451,0,4,3,1.3333333333333333,5.0,6.0,-1.0,-1.0
13-935,0,6,4,1.5,5.0,6.0,-1.0,-1.0
13-983,0,9,2,4.5,5.0,4.0,1.0,1.0
14-1095,1,7,7,1.0,6.0,6.0,0.0,0.0
14-1175,0,0,4,0.0,,6.0,,
14-1382,1,1,0,,5.0,,,
14-1406,1,1,3,0.3333333333333333,3.0,5.0,-2.0,-8.0
14-419,1,8,2,4.0,6.0,5.0,1.0,1.0
14-6368,1,2,0,,4.0,,,
15-1358,0,0,5,0.0,,5.0,,
15-214,0,2,17,0.11764705882352941,4.0,6.0,-2.0,-8.0
15-457,0,11,5,2.2,5.0,6.0,-1.0,-1.0
15-649,1,9,0,,6.0,,,
15-680,0,9,0,,5.0,,,
15-866,1,0,4,0.0,,3.0,,
15-927,0,0,1,0.0,,3.0,,
16-1067,1,8,3,2.6666666666666665,7.0,3.0,4.0,64.0
16-111,0,2,25,0.08,5.0,6.0,-1.0,-1.0
16-1275,0,0,13,0.0,,6.0,,
16-1276,0,0,0,,,,,
16-309,0,21,3,7.0,5.0,6.0,-1.0,-1.0
16-348,0,3,5,0.6,4.0,6.0,-2.0,-8.0
16-369,0,0,11,0.0,,6.0,,
16-498,1,7,6,1.1666666666666667,5.0,6.0,-1.0,-1.0
16-605,0,2,8,0.25,5.0,5.0,0.0,0.0
16-6795,0,20,2,10.0,5.0,5.0,0.0,0.0
16-74,0,1,23,0.043478260869565216,4.0,6.0,-2.0,-8.0
16-9493,1,14,4,3.5,6.0,5.0,1.0,1.0
16-980,0,4,24,0.16666666666666666,5.0,5.0,0.0,0.0
17-1026,1,10,3,3.3333333333333335,5.0,3.0,2.0,8.0
17-1174,0,6,13,0.46153846153846156,6.0,5.0,1.0,1.0
17-1184,1,6,1,6.0,5.0,4.0,1.0,1.0
17-1229,1,0,8,0.0,,6.0,,
17-1272,0,4,7,0.5714285714285714,5.0,6.0,-1.0,-1.0
17-1594,0,3,3,1.0,5.0,4.0,1.0,1.0
17-1672,1,3,11,0.2727272727272727,5.0,5.0,0.0,0.0
17-1678,1,6,0,,5.0,,,
17-204,0,2,6,0.3333333333333333,5.0,5.0,0.0,0.0
17-21,0,6,0,,3.0,,,
17-43,1,6,2,3.0,5.0,4.0,1.0,1.0
17-494,0,2,0,,4.0,,,
17-530,0,0,3,0.0,,5.0,,
17-5716,1,6,0,,5.0,,,
17-765,0,5,7,0.7142857142857143,7.0,6.0,1.0,1.0
17-8151,1,18,0,,5.0,,,
17-965,0,0,13,0.0,,6.0,,
18-1059,0,11,16,0.6875,6.0,5.0,1.0,1.0
18-1171,0,12,7,1.7142857142857142,5.0,4.0,1.0,1.0
18-485,0,15,0,,6.0,,,
18-556,0,0,18,0.0,,5.0,,
18-6943,1,9,0,,5.0,,,
19-161,0,0,11,0.0,,4.0,,
2020_19-108,0,3,7,0.42857142857142855,4.0,6.0,-2.0,-8.0
2020_19-1414,0,4,8,0.5,3.0,5.0,-2.0,-8.0
2020_19-292,1,15,5,3.0,6.0,3.0,3.0,27.0
2020_19-357,0,7,10,0.7,3.0,6.0,-3.0,-27.0
2020_19-508,0,7,5,1.4,4.0,6.0,-2.0,-8.0
2020_19-5410,1,7,3,2.3333333333333335,5.0,3.0,2.0,8.0
2020_19-8709,1,7,5,1.4,5.0,3.0,2.0,8.0
2020_19-930,0,4,6,0.6666666666666666,4.0,5.0,-1.0,-1.0
2020_20-157,0,12,4,3.0,5.0,3.0,2.0,8.0
2020_20-297,0,6,4,1.5,5.0,5.0,0.0,0.0
2020_20-366,0,3,10,0.3,5.0,5.0,0.0,0.0
2020_20-437,0,3,6,0.5,2.0,4.0,-2.0,-8.0
2020_20-5904,1,10,3,3.3333333333333335,6.0,4.0,2.0,8.0
2021_20-637,0,11,4,2.75,5.0,5.0,0.0,0.0
2021_20-826,0,7,7,1.0,6.0,6.0,0.0,0.0
2021_21-248,0,0,7,0.0,,5.0,,
2022_21-1158,0,7,2,3.5,4.0,4.0,0.0,0.0
2022_21-757,1,3,2,1.5,3.0,3.0,0.0,0.0
2022_22-10,0,5,4,1.25,3.0,4.0,-1.0,-1.0
2022_22-200,0,2,0,,1.0,,,
2022_22-23,1,11,10,1.1,5.0,6.0,-1.0,-1.0
2022_22-535,0,10,0,,5.0,,,
2023_22-1025,0,5,7,0.7142857142857143,5.0,3.0,2.0,8.0
2023_22-1165,0,0,3,0.0,,5.0,,
2023_22-1218,0,2,0,,3.0,,,
2023_22-721,0,15,0,,6.0,,,
2023_22-807,0,13,36,0.3611111111111111,3.0,6.0,-3.0,-27.0
2023_22-976,0,4,7,0.5714285714285714,5.0,5.0,0.0,0.0
2023_23-14,1,15,4,3.75,6.0,5.0,1.0,1.0
2023_23-250,0,0,29,0.0,,7.0,,
2024_23-217,0,0,5,0.0,,5.0,,
2024_23-997,1,13,2,6.5,4.0,5.0,-1.0,-1.0
