case_id,justice_id,turn_position,justice_utterance,preceding_speaker,preceding_context,side_addressed,label
2020_19-71,j__sonia_sotomayor,34,Thank you.,Edwin S. Kneedler,"No. It runs -- it runs against the named entity. It -- it runs against that person acting under -- under color of law. My point is -- is -- is -- is really that -- the substantive one, if you will, that entity has violated the substance of -- of RFRA, and the remedy should be the same as with all others who are part of the government for these purposes. An injunction -- an injunction against that operator, that's who would be -- that's who would be named.",0,1
2020_19-71,j__sonia_sotomayor,108,"Counsel, Petitioners argue that you haven't identified any statute in which the phrase ""appropriate relief"" was interpreted to include a damages remedy against federal officials, absent some extra text making the availability of damages explicit. Is that right? And if it is, can you theorize for me why that's so? Is it because courts have held the opposite, because courts haven't considered the question, or because there just aren't that many statutes that authorize appropriate relief against federal government -- officials?",Ramzi Kassem,"Well, Your Honor, a district court judge would be, of course, free on the facts of a given case to make a determination that damages are not particularly suitable, which is the meaning of ""appropriate,"" or to decide that compensatory damages but not punitive damages would be appropriate. But that would be on a case-by-case and not a categorical basis. There is no categorical basis to judicially exclude damages under this statute. It allows for appropriate relief without limitation. It allows for that relief against officials or other persons without limitation to official capacity suits only. And so this Court and other courts should honor the statute that Congress actually enacted. And, of course, you know, the defendants here, the Petitioners, they are individuals, but they come to court armed with a powerful shield of qualified immunity, which protects all but the plainly incompetent or those who flout clearly established law.",1,1
2020_19-71,j__sonia_sotomayor,110,"I'm sorry. Are you taking the position that Congress didn't intend, by using appropriate relief, to include -- before Sossamon -- to include states and their -- their -- their officials? I mean, there were private causes of action under 1983 for damages against the state government and its officials. Why would Congress not have wanted to pierce sovereign immunity with respect to states and their officials back then?",Ramzi Kassem,"Your Honor, ordinarily, Congress -- you know, we've cited statutes where Congress has expressly included damages against federal officials, and we've cited statutes where Congress has expressly excluded damages against federal officials. And, of course, it did neither here. But RFRA is no ordinary law. This Court, as recently as Bostock, described it as a super-statute. RFRA reflected a very ambitious goal that Congress had to regulate the number of federal, state, and local actors, and it did so with the most practical language it could think of. If -- if, for example, Congress had said something along the lines of appropriate relief including money damages, well, that could have been mistaken for an intention to pierce the sovereign immunity of the states and the federal government against damages. And no one contends that that was Congress's goal with And so, with appropriate relief against the government as defined in the statute, Congress chose the most practical terms to achieve its ambitious purpose.",1,1
2020_19-71,j__sonia_sotomayor,112,"Thank you, counsel.",Ramzi Kassem,"Forgive me, Justice Sotomayor. Let me clarify my -- my answer. Congress, of course, intended to pierce and pierce sovereign immunity with respect to injunctive relief. What happened in Sossamon was that the plaintiffs were suing the State of Texas and officials, prison officials, of the State of Texas in their official capacity, not in their personal capacity. So the plaintiffs in Sossamon sued officials in an official capacity for damages, which is basically a suit for damages against the state itself. And that was barred by sovereign immunity. Had they -- had they sued those state prison officials in their personal capacity for damages, there would not have been a sovereign immunity bar, just like there is no sovereign immunity bar here in this case against these individual capacity Petitioners.",1,1
2020_19-309,j__sonia_sotomayor,40,"Counsel, I'm -- I -- I just want to make sure I understand things. You used the word ""bipartisan,"" but, in your briefs, you said that this provision, the majority party provision, promotes partisan balancing and the public's perception of an independent judiciary. I just don't understand why the majority party rule promotes either of those two interests and does it in a better way than the bare majority provision at issue in your section -- in your Number 2 of Article III? There, all that is required of the bare majority is that it be no more than a bare majority. It doesn't have to be. But could you explain to me why it has to be two parties only who can be judges?",Michael W. McConnell,MR. McCONNELL: -- his decision.,0,1
2020_19-309,j__sonia_sotomayor,42,"And to promote those particular interests, because that's the State's interest.",Michael W. McConnell,"MR. McCONNELL: Well, Justice Sotomayor --",0,1
2020_19-309,j__sonia_sotomayor,44,"Well, but --",Michael W. McConnell,"MR. McCONNELL: So the State's interest is in -- is in balance. And what the major party provision does is it prevents the governor from appointing somebody from an allied party, a party that's very closely associated with one of the two major parties, or an Independent who may have been a member of the other major party, as, of course, Mr. Adams was for his entire career. So this is really a backstop provision to make sure that the bare majority provision works.",0,1
2020_19-309,j__sonia_sotomayor,46,"-- if you'll -- if you'll excuse me a moment with that, those two examples. It seems to me that no rightly thinking governor is going to appoint someone from the other party who is completely misaligned with his or her views. They could pick the most -- I -- I -- I don't know if there's such a word -- the softest Republican, the one most closely aligned with Democratic values or -- or something of that nature. It just doesn't seem to me that the -- that the mere membership in a party connotes an acceptance by a governor.",Michael W. McConnell,MR. McCONNELL: And as the --,0,1
2020_19-309,j__sonia_sotomayor,158,"Counsel, your last answer troubles me because there are three rights at issue here that I see, at least three. It's your right, your client's right as an Independent to seek judicial appointment, and that right is being limited by this majority party rule. Then there's the governor's right under Elrod and Branti to decide who he wants to appoint to a certain position, and he could -- maybe not this governor, but another governor might want an Independent or another third-party applicant, but the constitution stops him from doing that. And that's where I think Elrod and Branti would have quite a -- a lot to say about whether or not your political affiliations have much to do with your decision-making. And -- and that, I think, would be what we would have to face given Justice Alito's question, a governor who says, I won't appoint somebody from another party under any circumstance. But that's not the case here. The case here involves the State, and it's the State's choice for its own interests balancing partisanship and promoting an independent judiciary who says, I want to prohibit both your client and the State and the governor from acting in a particular way, i.e. from selecting you merely because you're an Independent. And it seems to me that the bare majority rule, that, or prohibition in this case, is more than adequate to take care of those two interests, but the majority party rule doesn't -- isn't. But you're arguing against both. Can you tell me why you're saying we can't have severance?",David L. Finger,"No, because it becomes an effective unconstitutional policy of the governor.",1,1
2020_19-309,j__sonia_sotomayor,160,"Counsel, I don't mean -- I don't mean to stop you because I'm mostly interested in the second one. Take a look. All you have to do is take out the last proposition, ""the remaining members of such office shall be of the other major political party.""",David L. Finger,"Certainly. As I indicated in my opening, Justice Sotomayor, the language of -- of the -- of the provisions cannot be -- you can't point to a phrase or term that'll take out and -- and remain coherent. And I'll just give the first example regarding the Delaware Supreme Court. The language says: Three of the five Justices of the Supreme Court in office at the same time shall be --",1,1
2020_19-309,j__sonia_sotomayor,162,"And take out the word ""mayor."" That's just excising a portion.",David L. Finger,Yes.,1,1
2020_19-292,j__sonia_sotomayor,57,"Counsel, picking up on that last point, it is a little odd to say that a police officer who touches you has seized you in the common law, but, if he has a baton in his hand and touches you with the baton, he's done so indirectly, so he hasn't seized you, and, if he takes a gun and shoots the bullet at you, that's not a seizure because it's a projectile. I'm assuming your -- what your statement was to my two prior colleagues is that the common law didn't draw that kind of distinction because it made no sense, correct?",Kelsi B. Corkran,"The -- the Court recognized in Castleman that the common law concept of force includes its indirect application to the extent that pulling a trigger would be considered an indirect application, but we looked -- we looked to the common law to determine what force was at the time. And I don't think there's any real dispute that -- that shooting someone or hitting them with a bat or any sort of application of force using an instrument would have qualified under that original meaning of seizure.",0,1
2020_19-292,j__sonia_sotomayor,59,"Now can you explain why this case is so important? Meaning, if you don't -- if you weren't to have a Fourth Amendment violation, would the Due Process Clause provide you with a remedy?",Kelsi B. Corkran,That's correct. Every circumstance you just described would have fallen within the original meaning of seizure at the founding.,0,1
2020_19-292,j__sonia_sotomayor,61,"Thank you, counsel.",Kelsi B. Corkran,"So I -- I -- I don't think that the remedy provided by the Due Process Clause is adequate here at least under the current regime, where we have the conscience-shocking standard. There are all sorts of abuses by the government of power that would fall short of the conscience-shocking standard, even though they would be unreasonable uses of excessive force.",0,1
2020_19-292,j__sonia_sotomayor,134,"Counsel, you rely, as does your friend, on Hodari D. Both of you believe, I think -- and if I'm wrong, let me know -- that the language in Hodari is not dicta. Could you articulate why you think it's not dicta?",Rebecca Taibleson,"Yes, Your Honor, assuming that the tort principles that govern under Section 1983 would -- would provide for such damages.",2,1
2020_19-292,j__sonia_sotomayor,136,It seems somewhat logical. It was necessary to the reasoning of the Court in reaching its decision.,Rebecca Taibleson,"Justice Sotomayor, the facts in Hodari D. did not involve a physical force seizure at the moment in question in that case, so I suppose you could imagine the Court in Hodari D. having resolved the question presented there on different reasoning, but that is not what the Hodari D. court did. Instead, the Court expressly framed the question presented as whether, with respect to a show of authority, as with respect to application of physical force, a seizure occurs even though the subject does not yield. The Court then has a long discussion of physical force seizure and specifically concludes that the application of restraining physical force, even if unsuccessful, can be a seizure. That language has never been abrogated, and that particular point was agreed to by the defense. So we take the Hodari D. Court at its word. And Hodari D. did establish a clear and administrable line that has been in place for 30 years. So we are not asking the Court to revisit that language in Hodari D. today.",2,1
2020_19-292,j__sonia_sotomayor,138,"Thank you, counsel.",Rebecca Taibleson,"We certainly don't think it's language that we could simply set aside. Of course, we advocated for a different position in Hodari D. This Court rejected it, and so we are here respecting, you know, what the Court said in Hodari D.",2,1
2020_19-292,j__sonia_sotomayor,217,"Counsel, there is an element to the Fourth Amendment that all of our cases, including Hodari, recognized by Justice Scalia, who very much was a advocate of the common law and -- and quite well informed about it generally, that has to do with the Fourth Amendment's protection of bodily integrity. It is why we call putting a needle in someone's arm a seizure that requires either probable cause or exigent circumstances, et cetera. And all of the common law cases that the other side has quoted to talk about not the seizure of the person in stopping their motion but the seizure of the person with respect to the touching of that person because even a touch stops you. It may be for a split second, but it impedes your motion -- movement and offends your integrity. You want us to add something more to the word ""seizure,"" you say, because common sense says that when a person is held for some imperceptible period of time, a few seconds, more than a few seconds, I don't know what your answer to Justice Alito meant, that that is more of a seizure than putting a bullet in someone. Am I understanding your argument accurately?",Mark D. Standridge,"I don't believe so, Your Honor. We do have a good faith defense that comes from New Mexico Supreme Court case law. However, the New Mexico Supreme Court case law also counsels trial judges against granting summary judgment. We are a very summary judgment adverse state. So I believe I can represent, as an officer of this Court and the state courts of New Mexico, that it is likely an assault or battery claim brought by a petitioner such as -- or a plaintiff such as this Petitioner wouldn't survive summary judgment and would likely have to have been resolved at trial.",1,1
2020_19-292,j__sonia_sotomayor,219,"Excuse me, counsel, no, you're asking us to reject the clear line drawn by Hodari and say that Justice Scalia was wrong about what the common law showed. That's exactly what you're asking us to do. You're saying it was pure dicta; his entire analytical approach was wrong.",Mark D. Standridge,"I think, Justice Sotomayor, I -- I disagree. I don't believe we are asking the Court today to add anything, to add any extra layer of analysis to the seizure issue beyond what is already existent in this Court's case law and in the common law. And --",1,1
2020_19-292,j__sonia_sotomayor,221,"Well, let's -- let's put it -- the Fourth Amendment doesn't talk about arrest. It talks about seizure. Those are two very -- well, a -- a seizure is a form of arrest, whether you stay arrested or not. Just as in your example of the person pulling away and running away, you can still be seized, you can still be arrested, and then run away.",Mark D. Standridge,"I don't know, Your Honor -- Your Honor, that we're suggesting that Justice Scalia was incorrect in his discussion of a particular facet of common law, that -- that lurking in the outer boundaries of the common law of arrest that -- was this idea that a person could be -- could be arrested as a matter of constructive arrest by the mere touch.",1,1
2020_19-292,j__sonia_sotomayor,223,"But that was not -- that's not -- that idea of control, as opposed to intrusion, laying your hand on someone, that was all the common law talked about, wasn't it? You try to distinguish away those cases, but that's all they reference.",Mark D. Standridge,"Yes, I -- I believe that is correct, Justice Sotomayor. Every custodial arrest, every -- every traditional arrest is a seizure, but not every form of arrest would constitute a seizure, absent that element of control, absent that element of the officer taking possession over the person, which was not -- which was not -- is not a feature of constructive arrest --",1,1
2020_19-292,j__sonia_sotomayor,225,"Grasp. Counsel, grasp. Counsel, thank you. My time is up.",Mark D. Standridge,"Respectfully, no, Your Honor. I -- I would -- I would point to the English decision in Genner versus Sparks, for example, where the court made the distinction between the arrest by the touch allowing the bailiff to break into the house to actually seize the debtor, who is in the house. I would also certainly point to contemporary dictionary definitions existing at the time, for example, Johnson's Dictionary of the English Language, that -- that said to seize is to take possession of or to grasp. For that reason --",1,1
2020_19-357,j__sonia_sotomayor,49,"Counsel, would permitting a car to sit out in weather, in bad weather, or to be broken into or bumped into while in the City's possession -- does that change the status quo?",Craig Goldblatt,"Sure. The -- the -- the -- again, so the paradigmatic example, for example, would be a derivative action, if -- if a party wanted to take over an estate cause of action and go to state court and say the estate ought to be pursuing the cause of action that it's not, and try to take over that claim, bringing that derivative action would be an act to exercise control over intangible -- over estate property. There are cases involving the termination of a lease agreement, for example, another piece of property that arguably isn't subject to possession, but those actions would violate the automatic stay after the words ""exercise control"" were added in 1984.",0,1
2020_19-357,j__sonia_sotomayor,51,All right. May I stop you a moment? Because I'm limited in time.,Craig Goldblatt,"So, Justice Sotomayor, I don't believe those actions or -- or what -- what -- or violations of duties or -- or -- or what have you violate the automatic stay. I do believe that non-bankruptcy law, and in this context, the UCC, imposes duties on secured creditors to exercise appropriate care over property that -- that they have repossessed, and so it --",0,1
2020_19-357,j__sonia_sotomayor,53,"By your theory right now, the plaintiff must start an adversary proceeding, which has a huge amount of costs associated with them. As I understand it, adversary proceedings take several months. And to what end? Meaning you would go to court and say, I have a lien. They should give me security. You could do that now even if you had to turn over the car immediately. How can we ensure that these processes would go fast enough to save the debtor from not being able to rehabilitate? Because, for many of these people, the cars are the only means they have to get to work.",Craig Goldblatt,Certainly.,0,1
2020_19-357,j__sonia_sotomayor,55,"Well, they didn't in -- counsel, I want to point out that it took weeks, if not -- weeks after bankruptcy orders in these cases to turn over the cars for the City to respond.",Craig Goldblatt,"So, Justice Sotomayor, bankruptcy judges have ample discretion and, in my experience, exercise it quite wisely to set schedules --",0,1
2020_19-357,j__sonia_sotomayor,111,"Counsel, there are some courts that require automatic turnover of a student's transcript if -- if a bankruptcy is filed by the student and the university refuses to release the transcript upon request. Those courts come to the conclusion that the decision to retain control of the transcript and not release it when demanded is a -- is a violation of the code and of the automatic stay. It seems to me that your position would be that that's -- those cases are wrong. Am I right?",Colleen E. Roh Sinzdak,"I -- I think so in -- insofar as you can say that the automatic sanctions provision of 362 does not attach to 542. I think Respondents seem to believe that 362 is the only way to get automatic sanctions, and that, presumably, is why they're advancing this case. But -- but that's not a reason to sort of start distorting Section 362 to read it in different ways. And I think you can just say that: Respondents' belief that Section 362 is necessary to obtain sanctions is not an appropriate basis to distort the plain meaning of 362.",0,1
2020_19-357,j__sonia_sotomayor,113,That there is no act -- that your refusal to do an act that the code requires to turn over property of the estate -- forget about the sanctions. I'm talking about --,Colleen E. Roh Sinzdak,"No, Justice Sotomayor.",0,1
2020_19-357,j__sonia_sotomayor,115,"-- just the refusal to turn over something that's requested, without taking the act the code requires, for you to go to the bankruptcy court and ask for security or take some other action to protect yourself, you're taking the position that that's not exercising control sufficient to violate the automatic stay?",Colleen E. Roh Sinzdak,No.,0,1
